Складские остатки на дату;Код продукции ДКС;Количество;Базовая единица измерения ;Сумма с НДС ;Город;Адрес офиса продаж дистр.;Внутр. код офиса продаж дистр.;Срок доставки
29.05.2024;71725;253;м;34,05;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;71725;840;м;34,05;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;71725;340;м;34,05;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;71725;684;м;34,05;Краснодар;ул. Российская, д. 252;;0
29.05.2024;71725;2922;м;34,05;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;71725;289;м;34,05;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;71725;265;м;34,05;Краснодар;;;0
29.05.2024;71720;1472;м;26;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;71720;1826;м;26;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;71720;321;м;26;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;71720;1837;м;26;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;71720;1029;м;26;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;71720;1467;м;26;Краснодар;ул. Российская, д. 252;;0
29.05.2024;71720;2791;м;26;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;71720;515;м;26;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;71720;516;м;26;Краснодар;;;0
29.05.2024;51020;2987;шт;4,17;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;51020;6790;шт;4,17;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;51020;1187;шт;4,17;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;51020;7119;шт;4,17;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;51020;2269;шт;4,17;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;51020;5237;шт;4,17;Краснодар;ул. Российская, д. 252;;0
29.05.2024;51020;23014;шт;4,17;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;51020;2156;шт;4,17;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;51020;1094;шт;4,17;Краснодар;;;0
29.05.2024;51020M;1024;шт;4,37;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;51020M;83;шт;4,37;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;51020M;467;шт;4,37;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;51020M;2420;шт;4,37;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;51020M;1930;шт;4,37;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;51020M;1700;шт;4,37;Краснодар;ул. Российская, д. 252;;0
29.05.2024;51020M;30015;шт;4,37;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;51020M;1162;шт;4,37;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;51020M;1516;шт;4,37;Краснодар;;;0
29.05.2024;02140;80;м;367,34;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;02140;28;м;367,34;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;02140;4;м;367,34;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;02140;22;м;367,34;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;02140;3;м;367,34;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;02140;6;м;367,34;Краснодар;ул. Российская, д. 252;;0
29.05.2024;02140;200;м;367,34;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;02140;6;м;367,34;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;02140;2;м;367,34;Краснодар;;;0
29.05.2024;25306SR;839;шт;1,31;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;25306SR;580;шт;1,31;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;25306SR;200;шт;1,31;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;25306SR;500;шт;1,31;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;25306SR;300;шт;1,31;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;25306SR;470;шт;1,31;Краснодар;ул. Российская, д. 252;;0
29.05.2024;25306SR;1700;шт;1,31;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;25306SR;300;шт;1,31;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;25306SR;200;шт;1,31;Краснодар;;;0
29.05.2024;25307SR;115;шт;1,55;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;25307SR;1400;шт;1,55;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;25307SR;100;шт;1,55;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;25307SR;200;шт;1,55;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;25307SR;100;шт;1,55;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;25307SR;900;шт;1,55;Краснодар;ул. Российская, д. 252;;0
29.05.2024;25307SR;3500;шт;1,55;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;25307SR;400;шт;1,55;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;25307SR;100;шт;1,55;Краснодар;;;0
29.05.2024;25325SR;158;шт;7,08;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;25325SR;176;шт;7,08;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;25325SR;100;шт;7,08;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;25325SR;100;шт;7,08;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;25325SR;100;шт;7,08;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;25325SR;300;шт;7,08;Краснодар;ул. Российская, д. 252;;0
29.05.2024;25325SR;700;шт;7,08;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;25325SR;160;шт;7,08;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;25329SR;150;шт;18,14;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;25329SR;165;шт;18,14;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;25329SR;111;шт;18,14;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;25329SR;100;шт;18,14;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;25329SR;100;шт;18,14;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;25329SR;180;шт;18,14;Краснодар;ул. Российская, д. 252;;0
29.05.2024;25329SR;300;шт;18,14;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;25329SR;150;шт;18,14;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;25329SR;300;шт;18,14;Краснодар;;;0
29.05.2024;25310;15;шт;3,73;Краснодар;ул. Российская, д. 252;;0
29.05.2024;25318;35;шт;8,41;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;25318;20;шт;8,41;Краснодар;ул. Российская, д. 252;;0
29.05.2024;51025;1140;шт;5,72;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;51025;558;шт;5,72;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;51025;705;шт;5,72;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;51025;1265;шт;5,72;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;51025;664;шт;5,72;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;51025;627;шт;5,72;Краснодар;ул. Российская, д. 252;;0
29.05.2024;51025;5775;шт;5,72;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;51025;478;шт;5,72;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;51025;710;шт;5,72;Краснодар;;;0
29.05.2024;91925;562;м;29,29;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;91925;465;м;29,29;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;91925;361;м;29,29;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;91925;799;м;29,29;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;91925;400;м;29,29;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;91925;551;м;29,29;Краснодар;ул. Российская, д. 252;;0
29.05.2024;91925;2866;м;29,29;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;91925;224;м;29,29;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;91925;445;м;29,29;Краснодар;;;0
29.05.2024;71740;53;м;83,61;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;71740;50;м;83,61;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;71740;50;м;83,61;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;71740;30;м;83,61;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;71740;40;м;83,61;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;71740;17;м;83,61;Краснодар;ул. Российская, д. 252;;0
29.05.2024;71740;242;м;83,61;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;71740;102;м;83,61;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;71740;42;м;83,61;Краснодар;;;0
29.05.2024;35525;36;м;519,44;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;SPL3505;174;м;256,27;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;SPL3510;3;м;325,44;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;35265;18;м;827,31;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;BBL4010;1;шт;535,05;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;BBL4010;9;шт;535,05;Краснодар;ул. Российская, д. 252;;0
29.05.2024;BBL4010;180;шт;535,05;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;35520;15;м;164,61;Краснодар;ул. Российская, д. 252;;0
29.05.2024;35520;12;м;164,61;Краснодар;;;0
29.05.2024;35522;3;м;216,7;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;35522;9;м;216,7;Краснодар;ул. Российская, д. 252;;0
29.05.2024;35522;42;м;216,7;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;35522;3;м;216,7;Краснодар;;;0
29.05.2024;84618;3;шт;3257,39;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;84618;2;шт;3257,39;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;84618;2;шт;3257,39;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;84618;2;шт;3257,39;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;84618;2;шт;3257,39;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;84618;1;шт;3257,39;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;84618;1;шт;3257,39;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;84618;1;шт;3257,39;Краснодар;;;0
29.05.2024;01781;40;м;394,98;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;01781;32;м;394,98;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;01781;12;м;394,98;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;01781;44;м;394,98;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;01781;22;м;394,98;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;01781;16;м;394,98;Краснодар;ул. Российская, д. 252;;0
29.05.2024;01781;52;м;394,98;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;01781;16;м;394,98;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;01781;8;м;394,98;Краснодар;;;0
29.05.2024;45038;4;шт;412,44;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;45038;9;шт;412,44;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;45038;5;шт;412,44;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;45038;19;шт;412,44;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;45038;2;шт;412,44;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;45038;10;шт;412,44;Краснодар;ул. Российская, д. 252;;0
29.05.2024;45038;1;шт;412,44;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;45038;6;шт;412,44;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;45038;7;шт;412,44;Краснодар;;;0
29.05.2024;00871;12;шт;139;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00871;5;шт;139;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;00871;8;шт;139;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00871;3;шт;139;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;00871;1;шт;139;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00871;9;шт;139;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;00871;2;шт;139;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00871;4;шт;139;Краснодар;;;0
29.05.2024;00886;2;шт;90,11;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;00886;3;шт;90,11;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00886;3;шт;90,11;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;00886;2;шт;90,11;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00886;5;шт;90,11;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;00886;2;шт;90,11;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00886;16;шт;90,11;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;00886;2;шт;90,11;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00886;14;шт;90,11;Краснодар;;;0
29.05.2024;00513;10;шт;113,1;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;00513;11;шт;113,1;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00513;15;шт;113,1;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00513;15;шт;113,1;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00513;136;шт;113,1;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;00513;17;шт;113,1;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00513;10;шт;113,1;Краснодар;;;0
29.05.2024;MD63-3C63-6;3;шт;2090,64;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;MD63-3C63-6;2;шт;2090,64;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;MD63-3C63-6;2;шт;2090,64;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;MD63-3C63-6;3;шт;2090,64;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;MD63-3C63-6;2;шт;2090,64;Краснодар;ул. Российская, д. 252;;0
29.05.2024;MD63-3C63-6;35;шт;2090,64;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;MD63-3C63-6;2;шт;2090,64;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;91920;2712;м;19,21;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;91920;5197;м;19,21;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;91920;289;м;19,21;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;91920;5627;м;19,21;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;91920;880;м;19,21;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;91920;4235;м;19,21;Краснодар;ул. Российская, д. 252;;0
29.05.2024;91920;34243;м;19,21;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;91920;744;м;19,21;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;91920;388;м;19,21;Краснодар;;;0
29.05.2024;CM274025;300;шт;2,33;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;CM274025;400;шт;2,33;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;CM274025;400;шт;2,33;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;CM274025;1200;шт;2,33;Краснодар;ул. Российская, д. 252;;0
29.05.2024;CM274025;800;шт;2,33;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;51016N;730;шт;4,66;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;51016N;705;шт;4,66;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;51016N;300;шт;4,66;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;51016N;591;шт;4,66;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;51016N;359;шт;4,66;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;51016N;408;шт;4,66;Краснодар;ул. Российская, д. 252;;0
29.05.2024;51016N;1350;шт;4,66;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;51016N;155;шт;4,66;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;51016N;859;шт;4,66;Краснодар;;;0
29.05.2024;71716;621;м;19,89;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;71716;637;м;19,89;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;71716;409;м;19,89;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;71716;559;м;19,89;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;71716;226;м;19,89;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;71716;642;м;19,89;Краснодар;ул. Российская, д. 252;;0
29.05.2024;71716;3245;м;19,89;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;71716;590;м;19,89;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;71716;356;м;19,89;Краснодар;;;0
29.05.2024;00323;26;м;130,47;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;00323;18;м;130,47;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00323;20;м;130,47;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;00323;28;м;130,47;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00323;12;м;130,47;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;00323;10;м;130,47;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00323;6;м;130,47;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00323;8;м;130,47;Краснодар;;;0
29.05.2024;00324;8;м;193,42;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;00324;6;м;193,42;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00324;8;м;193,42;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;00324;14;м;193,42;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00324;14;м;193,42;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00324;8;м;193,42;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00324;14;м;193,42;Краснодар;;;0
29.05.2024;10043;4;шт;102,24;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;10043;10;шт;102,24;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;10043;5;шт;102,24;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;10043;7;шт;102,24;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;10043;5;шт;102,24;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;10043;8;шт;102,24;Краснодар;ул. Российская, д. 252;;0
29.05.2024;10043;85;шт;102,24;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;10043;7;шт;102,24;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;10043;4;шт;102,24;Краснодар;;;0
29.05.2024;54200;20;шт;974,27;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;54200;10;шт;974,27;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;54200;3;шт;974,27;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;54200;7;шт;974,27;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;54200;2;шт;974,27;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;54200;3;шт;974,27;Краснодар;ул. Российская, д. 252;;0
29.05.2024;54200;17;шт;974,27;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;54200;1;шт;974,27;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;54200;2;шт;974,27;Краснодар;;;0
29.05.2024;53000;17;шт;86,33;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;53000;11;шт;86,33;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;53000;25;шт;86,33;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;53000;32;шт;86,33;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;53000;4;шт;86,33;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;53000;19;шт;86,33;Краснодар;ул. Российская, д. 252;;0
29.05.2024;53000;29;шт;86,33;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;53000;11;шт;86,33;Краснодар;;;0
29.05.2024;25310SR;1276;шт;3,69;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;25310SR;1500;шт;3,69;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;25310SR;869;шт;3,69;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;25310SR;295;шт;3,69;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;25310SR;1470;шт;3,69;Краснодар;ул. Российская, д. 252;;0
29.05.2024;25310SR;5750;шт;3,69;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;25310SR;400;шт;3,69;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;25310SR;200;шт;3,69;Краснодар;;;0
29.05.2024;51016;892;шт;3,98;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;51016;395;шт;3,98;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;51016;1123;шт;3,98;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;51016;1412;шт;3,98;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;51016;576;шт;3,98;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;51016;1327;шт;3,98;Краснодар;ул. Российская, д. 252;;0
29.05.2024;51016;12216;шт;3,98;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;51016;617;шт;3,98;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;51016;738;шт;3,98;Краснодар;;;0
29.05.2024;52900;24;шт;61,98;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;52900;12;шт;61,98;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;52900;8;шт;61,98;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;52900;23;шт;61,98;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;52900;3;шт;61,98;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;52900;3;шт;61,98;Краснодар;ул. Российская, д. 252;;0
29.05.2024;52900;28;шт;61,98;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;52900;2;шт;61,98;Краснодар;;;0
29.05.2024;53800;110;шт;113,88;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;53800;45;шт;113,88;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;53800;10;шт;113,88;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;53800;214;шт;113,88;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;53800;11;шт;113,88;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;53800;25;шт;113,88;Краснодар;ул. Российская, д. 252;;0
29.05.2024;53800;272;шт;113,88;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;53800;29;шт;113,88;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;53800;13;шт;113,88;Краснодар;;;0
