Складские остатки на дату;Код продукции ДКС;Количество;Базовая единица измерения ;Сумма с НДС ;Город;Адрес офиса продаж дистр.;Внутр. код офиса продаж дистр.;Срок доставки
29.05.2024;71732;274;м;51,22;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;71732;341;м;51,22;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;71732;194;м;51,22;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;71732;855;м;51,22;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;71732;185;м;51,22;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;71732;194;м;51,22;Краснодар;ул. Российская, д. 252;;0
29.05.2024;71732;730;м;51,22;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;71732;194;м;51,22;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;71732;220;м;51,22;Краснодар;;;0
29.05.2024;00304;56;м;92,34;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00304;20;м;92,34;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;00304;78;м;92,34;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00304;14;м;92,34;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;00304;14;м;92,34;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00304;200;м;92,34;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;00304;22;м;92,34;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00304;14;м;92,34;Краснодар;;;0
29.05.2024;CM020860;100;шт;20,18;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;CM120600;104;шт;2,52;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;CM120600;200;шт;2,52;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;CM120600;107;шт;2,52;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;CM120600;200;шт;2,52;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;CM120600;192;шт;2,52;Краснодар;ул. Российская, д. 252;;0
29.05.2024;CM120600;500;шт;2,52;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;CM120600;20;шт;2,52;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;CM120800;104;шт;4,85;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;CM120800;65;шт;4,85;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;CM120800;76;шт;4,85;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;CM120800;119;шт;4,85;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;CM120800;59;шт;4,85;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;CM120800;58;шт;4,85;Краснодар;ул. Российская, д. 252;;0
29.05.2024;CM120800;48;шт;4,85;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;CM120800;100;шт;4,85;Краснодар;;;0
29.05.2024;CM121000;65;шт;10,09;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;CM121000;10;шт;10,09;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;CM121000;8;шт;10,09;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;CM121000;29;шт;10,09;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;00303;28;м;79,23;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;00303;30;м;79,23;Краснодар;ул. Кр. Партизан, д. 194;;0
29.05.2024;00303;22;м;79,23;Краснодар;ул. Солнечная, д. 25;;0
29.05.2024;00303;14;м;79,23;Краснодар;ул. Дзержинского, д. 98/3;;0
29.05.2024;00303;20;м;79,23;Краснодар;ул. Уральская, д. 87;;0
29.05.2024;00303;10;м;79,23;Краснодар;ул. Российская, д. 252;;0
29.05.2024;00303;24;м;79,23;Краснодар;ул. Текстильная, д. 9Б;;0
29.05.2024;00303;10;м;79,23;Краснодар;ул. Западный обход, д. 34;;0
29.05.2024;00303;12;м;79,23;Краснодар;;;0
29.05.2024;71725;612;м;34,05;Краснодар;ул. Онежская, д. 60;;0
29.05.2024;71725;1023;м;34,05;Краснодар;ул. Кр. Партизан, д. 194;;0
